"사고다발지FID","사고다발지ID","법정동코드","지점코드","시도시군구명","지점명","사고건수","사상자수","사망자수","중상자수","경상자수","부상신고자수","경도","위도","다발지역폴리곤"
99521,"2013060","2629010700","26290002  ",부산광역시 남구2,부산광역시 남구 용호동(분포초교 부근),2,2,0,1,1,0,129.11366244047,35.128771564257,"{""type"":""Polygon"",""coordinates"":[[[129.1159899,35.1306836],[129.1155972,35.1309592],[129.1151568,35.1311809],[129.1146796,35.1313433],[129.1141774,35.1314424],[129.1136624,35.1314757],[129.1131475,35.1314424],[129.1126453,35.1313433],[129.1121681,35.1311809],[129.1117277,35.1309592],[129.111335,35.1306836],[129.1109995,35.130361],[129.1107297,35.1299992],[129.110532,35.1296071],[129.1104115,35.1291945],[129.110371,35.1287715],[129.1104115,35.1283485],[129.1105321,35.1279359],[129.1107298,35.1275439],[129.1109996,35.1271821],[129.1113351,35.1268595],[129.1117278,35.1265839],[129.1121682,35.1263622],[129.1126454,35.1261998],[129.1131476,35.1261008],[129.1136624,35.1260675],[129.1141773,35.1261008],[129.1146795,35.1261998],[129.1151567,35.1263622],[129.1155971,35.1265839],[129.1159898,35.1268595],[129.1163252,35.1271821],[129.1165951,35.1275439],[129.1167928,35.1279359],[129.1169134,35.1283485],[129.1169539,35.1287715],[129.1169134,35.1291945],[129.1167928,35.1296071],[129.1165952,35.1299992],[129.1163253,35.130361],[129.1159899,35.1306836]]]}"
99522,"2013060","2635010300","26350001  ",부산광역시 해운대구1,부산광역시 해운대구 반여동(장산초교 부근),2,2,0,2,0,0,129.119107486522,35.199555548651,"{""type"":""Polygon"",""coordinates"":[[[129.121437,35.2014676],[129.1210439,35.2017432],[129.1206031,35.2019649],[129.1201255,35.2021273],[129.1196228,35.2022263],[129.1191075,35.2022596],[129.1185921,35.2022263],[129.1180895,35.2021273],[129.1176119,35.2019649],[129.1171711,35.2017432],[129.116778,35.2014676],[129.1164423,35.2011449],[129.1161722,35.2007831],[129.1159744,35.2003911],[129.1158537,35.1999785],[129.1158132,35.1995555],[129.1158537,35.1991325],[129.1159744,35.1987199],[129.1161723,35.1983279],[129.1164424,35.1979661],[129.1167781,35.1976435],[129.1171712,35.1973679],[129.1176119,35.1971462],[129.1180895,35.1969838],[129.1185922,35.1968848],[129.1191075,35.1968515],[129.1196228,35.1968848],[129.1201255,35.1969838],[129.120603,35.1971462],[129.1210438,35.1973679],[129.1214369,35.1976435],[129.1217726,35.1979661],[129.1220427,35.1983279],[129.1222405,35.1987199],[129.1223612,35.1991325],[129.1224018,35.1995555],[129.1223613,35.1999785],[129.1222406,35.2003911],[129.1220428,35.2007831],[129.1217727,35.2011449],[129.121437,35.2014676]]]}"
99523,"2013060","2641010400","26410001  ",부산광역시 금정구1,부산광역시 금정구 남산동(남산초교 부근),3,3,0,1,1,1,129.088197142086,35.262775365891,"{""type"":""Polygon"",""coordinates"":[[[129.0905284,35.2646874],[129.090135,35.264963],[129.0896939,35.2651847],[129.089216,35.265347],[129.0887129,35.2654461],[129.0881971,35.2654794],[129.0876814,35.2654461],[129.0871783,35.265347],[129.0867003,35.2651847],[129.0862592,35.264963],[129.0858658,35.2646874],[129.0855299,35.2643647],[129.0852596,35.2640029],[129.0850616,35.2636109],[129.0849408,35.2631983],[129.0849003,35.2627753],[129.0849409,35.2623523],[129.0850617,35.2619397],[129.0852597,35.2615477],[129.08553,35.2611859],[129.085866,35.2608633],[129.0862593,35.2605877],[129.0867004,35.260366],[129.0871784,35.2602037],[129.0876814,35.2601046],[129.0881971,35.2600713],[129.0887129,35.2601046],[129.0892159,35.2602037],[129.0896938,35.260366],[129.0901349,35.2605877],[129.0905283,35.2608633],[129.0908643,35.2611859],[129.0911346,35.2615477],[129.0913326,35.2619397],[129.0914534,35.2623523],[129.091494,35.2627753],[129.0914534,35.2631983],[129.0913327,35.2636109],[129.0911347,35.2640029],[129.0908644,35.2643647],[129.0905284,35.2646874]]]}"
98889,"2013060","2729010200","27290001  ",대구광역시 달서구1,대구광역시 달서구 두류동(성남초교 부근),2,2,0,0,2,0,128.571506569474,35.853026025731,"{""type"":""Polygon"",""coordinates"":[[[128.573855,35.8549379],[128.5734587,35.8552134],[128.5730144,35.8554351],[128.5725329,35.8555975],[128.5720261,35.8556965],[128.5715066,35.8557298],[128.570987,35.8556965],[128.5704803,35.8555975],[128.5699988,35.8554351],[128.5695544,35.8552134],[128.5691581,35.8549379],[128.5688197,35.8546152],[128.5685474,35.8542535],[128.568348,35.8538615],[128.5682263,35.8534489],[128.5681854,35.853026],[128.5682263,35.852603],[128.568348,35.8521905],[128.5685475,35.8517985],[128.5688198,35.8514368],[128.5691582,35.8511142],[128.5695545,35.8508386],[128.5699989,35.8506169],[128.5704803,35.8504546],[128.570987,35.8503555],[128.5715066,35.8503223],[128.5720261,35.8503555],[128.5725328,35.8504546],[128.5730143,35.8506169],[128.5734586,35.8508386],[128.5738549,35.8511142],[128.5741934,35.8514368],[128.5744657,35.8517985],[128.5746651,35.8521905],[128.5747868,35.852603],[128.5748277,35.853026],[128.5747868,35.8534489],[128.5746652,35.8538615],[128.5744658,35.8542535],[128.5741935,35.8546152],[128.573855,35.8549379]]]}"
99205,"2013060","2917012800","29170001  ",광주광역시 북구1,광주광역시 북구 양산동(양산초교 부근),2,2,0,1,1,0,126.872869376721,35.206431371112,"{""type"":""Polygon"",""coordinates"":[[[126.8751991,35.2083434],[126.8748059,35.208619],[126.8743651,35.2088407],[126.8738875,35.2090031],[126.8733848,35.2091021],[126.8728694,35.2091354],[126.872354,35.2091021],[126.8718513,35.2090031],[126.8713736,35.2088407],[126.8709328,35.208619],[126.8705397,35.2083434],[126.8702039,35.2080207],[126.8699338,35.207659],[126.869736,35.2072669],[126.8696153,35.2068543],[126.8695748,35.2064313],[126.8696154,35.2060083],[126.8697361,35.2055957],[126.8699339,35.2052037],[126.870204,35.2048419],[126.8705398,35.2045193],[126.8709329,35.2042437],[126.8713737,35.204022],[126.8718513,35.2038597],[126.872354,35.2037606],[126.8728694,35.2037273],[126.8733847,35.2037606],[126.8738874,35.2038597],[126.874365,35.204022],[126.8748058,35.2042437],[126.875199,35.2045193],[126.8755347,35.2048419],[126.8758048,35.2052037],[126.8760027,35.2055957],[126.8761234,35.2060083],[126.876164,35.2064313],[126.8761234,35.2068543],[126.8760028,35.2072669],[126.8758049,35.207659],[126.8755348,35.2080207],[126.8751991,35.2083434]]]}"
99524,"2013060","2920012000","29200001  ",광주광역시 광산구1,광주광역시 광산구 운남동(금구초교 부근),2,2,0,1,1,0,126.814907819042,35.177662459956,"{""type"":""Polygon"",""coordinates"":[[[126.8172367,35.1795745],[126.8168437,35.1798501],[126.816403,35.1800718],[126.8159256,35.1802342],[126.815423,35.1803332],[126.8149078,35.1803665],[126.8143926,35.1803332],[126.8138901,35.1802342],[126.8134126,35.1800718],[126.8129719,35.1798501],[126.812579,35.1795745],[126.8122433,35.1792518],[126.8119733,35.17889],[126.8117755,35.178498],[126.8116549,35.1780854],[126.8116144,35.1776624],[126.811655,35.1772394],[126.8117756,35.1768268],[126.8119734,35.1764348],[126.8122434,35.176073],[126.8125791,35.1757504],[126.812972,35.1754748],[126.8134127,35.1752531],[126.8138901,35.1750907],[126.8143926,35.1749917],[126.8149078,35.1749584],[126.815423,35.1749917],[126.8159255,35.1750907],[126.816403,35.1752531],[126.8168436,35.1754748],[126.8172366,35.1757504],[126.8175722,35.176073],[126.8178422,35.1764348],[126.81804,35.1768268],[126.8181607,35.1772394],[126.8182012,35.1776624],[126.8181607,35.1780854],[126.8180401,35.178498],[126.8178423,35.17889],[126.8175723,35.1792518],[126.8172367,35.1795745]]]}"
99526,"2013060","3023010900","30230001  ",대전광역시 대덕구1,대전광역시 대덕구 중리동(대전용전초교 부근),2,2,0,1,1,0,127.430077583015,36.35595079989,"{""type"":""Polygon"",""coordinates"":[[[127.4324411,36.3578625],[127.4320422,36.358138],[127.431595,36.3583597],[127.4311105,36.358522],[127.4306005,36.3586211],[127.4300776,36.3586543],[127.4295547,36.3586211],[127.4290447,36.358522],[127.4285601,36.3583597],[127.4281129,36.358138],[127.4277141,36.3578625],[127.4273735,36.3575399],[127.4270995,36.3571781],[127.4268988,36.3567862],[127.4267763,36.3563737],[127.4267352,36.3559508],[127.4267764,36.3555278],[127.4268988,36.3551153],[127.4270996,36.3547234],[127.4273736,36.3543617],[127.4277142,36.3540391],[127.428113,36.3537636],[127.4285602,36.3535419],[127.4290448,36.3533796],[127.4295547,36.3532805],[127.4300776,36.3532473],[127.4306004,36.3532805],[127.4311104,36.3533796],[127.4315949,36.3535419],[127.4320421,36.3537636],[127.4324409,36.3540391],[127.4327816,36.3543617],[127.4330556,36.3547234],[127.4332563,36.3551153],[127.4333788,36.3555278],[127.4334199,36.3559508],[127.4333788,36.3563737],[127.4332564,36.3567862],[127.4330557,36.3571781],[127.4327817,36.3575399],[127.4324411,36.3578625]]]}"
99527,"2013060","4111710100","41117001  ",경기도 수원시 영통구1,경기도 수원시 영통구 매탄동(매탄초교 효동초교 부근),2,2,0,1,1,0,127.044647487692,37.262664037516,"{""type"":""Polygon"",""coordinates"":[[[127.047039,37.2645754],[127.0466354,37.2648509],[127.0461829,37.2650725],[127.0456926,37.2652349],[127.0451766,37.2653339],[127.0446475,37.2653672],[127.0441184,37.2653339],[127.0436024,37.2652349],[127.043112,37.2650725],[127.0426595,37.2648509],[127.042256,37.2645754],[127.0419113,37.2642529],[127.041634,37.2638912],[127.041431,37.2634993],[127.0413071,37.2630869],[127.0412655,37.262664],[127.0413071,37.2622411],[127.041431,37.2618287],[127.0416341,37.2614368],[127.0419114,37.2610751],[127.0422561,37.2607526],[127.0426596,37.2604771],[127.0431121,37.2602555],[127.0436024,37.2600932],[127.0441184,37.2599942],[127.0446475,37.2599609],[127.0451765,37.2599942],[127.0456926,37.2600932],[127.0461828,37.2602555],[127.0466353,37.2604771],[127.0470389,37.2607526],[127.0473835,37.2610751],[127.0476608,37.2614368],[127.0478639,37.2618287],[127.0479878,37.2622411],[127.0480295,37.262664],[127.0479879,37.2630869],[127.047864,37.2634993],[127.0476609,37.2638912],[127.0473837,37.2642529],[127.047039,37.2645754]]]}"
99528,"2013060","4115010300","41150001  ",경기도 의정부시1,경기도 의정부시 장암동(동암초교 부근),2,2,0,1,1,0,127.053496816626,37.723345117284,"{""type"":""Polygon"",""coordinates"":[[[127.0559031,37.7252563],[127.055497,37.7255318],[127.0550417,37.7257534],[127.0545484,37.7259157],[127.0540292,37.7260148],[127.0534968,37.726048],[127.0529645,37.7260148],[127.0524452,37.7259157],[127.0519519,37.7257534],[127.0514966,37.7255318],[127.0510906,37.7252563],[127.0507438,37.7249338],[127.0504648,37.7245722],[127.0502605,37.7241803],[127.0501358,37.7237679],[127.050094,37.7233451],[127.0501359,37.7229222],[127.0502606,37.7225098],[127.0504649,37.722118],[127.0507439,37.7217564],[127.0510907,37.7214338],[127.0514967,37.7211584],[127.051952,37.7209368],[127.0524453,37.7207745],[127.0529645,37.7206755],[127.0534968,37.7206422],[127.0540291,37.7206755],[127.0545483,37.7207745],[127.0550416,37.7209368],[127.0554969,37.7211584],[127.0559029,37.7214338],[127.0562497,37.7217564],[127.0565287,37.722118],[127.0567331,37.7225098],[127.0568578,37.7229222],[127.0568997,37.7233451],[127.0568578,37.7237679],[127.0567332,37.7241803],[127.0565288,37.7245722],[127.0562498,37.7249338],[127.0559031,37.7252563]]]}"
99529,"2013060","4119510900","41195001  ",경기도 부천시 원미구1,경기도 부천시 원미구 상동(송내초교 부근),2,2,0,1,1,0,126.76012162991,37.490115001707,"{""type"":""Polygon"",""coordinates"":[[[126.7625204,37.4920263],[126.7621156,37.4923018],[126.7616617,37.4925234],[126.7611699,37.4926857],[126.7606523,37.4927847],[126.7601216,37.492818],[126.7595909,37.4927847],[126.7590733,37.4926857],[126.7585815,37.4925234],[126.7581277,37.4923018],[126.7577229,37.4920263],[126.7573772,37.4917038],[126.7570991,37.4913421],[126.7568954,37.4909502],[126.7567711,37.4905378],[126.7567294,37.490115],[126.7567712,37.4896921],[126.7568955,37.4892797],[126.7570992,37.4888878],[126.7573773,37.4885262],[126.757723,37.4882037],[126.7581278,37.4879282],[126.7585816,37.4877066],[126.7590734,37.4875443],[126.759591,37.4874453],[126.7601216,37.487412],[126.7606523,37.4874453],[126.7611699,37.4875443],[126.7616616,37.4877066],[126.7621155,37.4879282],[126.7625202,37.4882037],[126.762866,37.4885262],[126.7631441,37.4888878],[126.7633478,37.4892797],[126.7634721,37.4896921],[126.7635139,37.490115],[126.7634721,37.4905378],[126.7633479,37.4909502],[126.7631442,37.4913421],[126.7628661,37.4917038],[126.7625204,37.4920263]]]}"
