inputaddr,lng,lat,x,y,b,z,hc,lc,rc,bn
"서울특별시 용산구  백범로 329",126.96618293454985,37.538612787596776,952840,1948944,,"04316","1117056000","1117011200","111703005016","1117011200100250002019570"
"\"서울특별시 용산구  후암로16나길 17, 용중지구대\"",126.97848134909248,37.549159459343464,953933,1950108,,"04331","1117051000","1117010100","111704106573","1117010100102440103027069"
"서울특별시 용산구  이태원로 184",126.99440809799844,37.534311368849615,955331,1948453,,"04406","1117065000","1117013000","111703102009","1117013000101270010009619"
"\"서울특별시 용산구  대사관로34길 53, 한남파출소\"",127.00634783094077,37.53108095837891,956384,1948089,,"04410","1117068500","1117013100","111704106031","1117013100106220003006756"
"\"서울특별시 용산구  보광로 25-1, 보광파출소\"",127.00024259523053,37.52671075710476,955842,1947607,,"04394","1117070000","1117013600","111703102003","1117013600102230005002479"
"서울특별시 용산구  한강대로198-2",126.97471253002902,37.536109227713936,953592,1948662,,"04353","1117062500","1117012400","111702005005","1117012400100160000014268"
"서울특별시 용산구  서빙고로67",126.97041169791757,37.52485917277445,953205,1947416,,"04385","1117062500","1117012700","111703102004","1117012700100240000000001"
"서울특별시 성북구  아리랑로5길 54",127.01240154834886,37.59731916055174,956957,1955435,,"02826","1129059000","1129010300","112904121416","1129010300106300005000001"
"서울특별시 성북구  지봉로21길 45",127.0165935498249,37.586718568793586,957321,1954257,,"02870","1129061000","1129013200","112904121692","1129013200100010001000001"
"서울특별시 성북구  삼양로13길 51 길음지구대",127.01926017575505,37.61060604582179,957570,1956906,,"02724","1129066000","1129013400","112904121275","1129013400112810005000001"
"서울특별시 성북구  솔샘로 111",127.0086079084808,37.61606936300189,956633,1957517,,"02702","1129065000","1129013300","112903005042","1129013300102390003000001"
"서울특별시 성북구  정릉로26길 6 정릉2파출소",127.01072289068232,37.60455900918494,956813,1956239,,"02814","1129063000","1129013300","112904121613","1129013300109660174033391"
"서울특별시 성북구  성북로 94  성북파출소",126.998472463802,37.59327685605577,955725,1954993,,"02837","1129052500","1129010100","112903107008","1129010100100660023052273"
"서울시 동대문구 사가정로 2길 9",127.05106208615788,37.57129744267722,960356,1952531,,"02601","1123060000","1123010500","112304115180","1123010500107140000000001"
"서울특별시 동대문구  청계천로549",127.03721440848031,37.57283935583732,959134,1952708,,"02590","1123053600","1123010200","112303100021","1123010200106960010038795"
"서울특별시 동대문구 약령시로21길 15",127.04527678959253,37.58411048777876,959852,1953955,,"02486","1123070500","1123010700","112304115249","1123010700102320002013825"
"서울특별시 동대문구 약령시로 17길 59-11",127.04202859798261,37.58556712442075,959566,1954118,,"02480","1123054500","1123010300","112304115246","1123010300102870033033065"
"서울특별시 동대문구 서울시립대로 56",127.04794140151476,37.57612577337714,960083,1953068,,"02551","1123056000","1123010400","112303105004","1123010400106500001029162"
