201912,충남아산경찰서,8827,1886,64,690,921,25,3951,357,933,4195,2325,2307,166,341,952,1276,1495,1340,939,2318,1062,1270,1247,1359,1364,1370,1155,1650,373,108,1155,90,396,3618,1437,0,0,2021-10-27 13:25
201912,충남세종경찰서,5854,1610,22,714,743,19,2309,126,311,2865,1762,1227,186,222,582,967,1111,915,630,1241,535,952,897,950,856,952,712,1320,86,42,807,23,179,2432,965,0,0,2021-10-27 13:25
201912,충남서천경찰서,1250,426,2,83,254,6,329,11,139,568,294,388,21,27,65,92,162,248,244,391,130,201,206,186,172,201,154,264,28,12,144,3,32,580,187,0,0,2021-10-27 13:25
201912,충남서산경찰서,5078,1129,37,698,475,10,1951,175,603,2331,1465,1282,85,225,579,678,755,821,649,1286,578,751,794,779,775,793,608,677,213,68,721,18,214,2389,778,0,0,2021-10-27 13:25
201912,충남부여경찰서,1292,343,48,76,175,4,513,34,99,532,367,393,18,18,50,94,174,227,315,396,139,211,221,175,195,197,154,246,24,23,234,5,37,549,174,0,0,2021-10-27 13:25
201912,충남보령경찰서,3273,919,6,315,569,9,940,134,381,1400,898,975,67,124,284,332,475,551,456,984,402,498,490,455,492,485,451,611,131,83,271,8,92,1451,626,0,0,2021-10-27 13:25
201912,충남당진경찰서,5039,1052,4,895,695,9,1772,197,415,2336,1216,1487,79,173,565,692,765,753,515,1497,527,768,708,827,717,878,614,903,161,49,543,21,102,2117,1143,0,0,2021-10-27 13:25
201912,충남논산경찰서,3700,1023,31,342,435,14,1468,129,258,1811,1035,854,68,121,381,438,548,706,578,860,400,611,535,574,573,575,432,785,140,31,499,19,200,1356,670,0,0,2021-10-27 13:25
201912,충남금산경찰서,1034,355,15,78,138,9,305,13,121,483,286,265,15,27,54,95,165,191,221,266,104,169,162,172,156,151,120,282,24,20,141,3,39,398,127,0,0,2021-10-27 13:25
201912,충남공주경찰서,2860,815,34,187,499,7,924,47,347,1375,788,697,51,114,308,298,431,489,467,702,323,442,423,436,422,467,347,535,81,41,336,14,74,1288,491,0,0,2021-10-27 13:25
201912,창원해양경비안전서,1773,9,1500,0,71,18,9,0,166,48,1,1724,0,0,37,2,1,4,5,1724,192,230,269,269,297,269,247,854,0,0,2,0,15,5,897,0,0,2021-10-27 13:25
201912,중부해양경비안전본부,56,2,6,0,0,3,0,0,45,9,1,46,0,0,1,2,3,0,4,46,6,14,6,14,5,7,4,40,0,0,0,0,0,8,8,0,0,2021-10-27 13:25
201912,제주해양경비안전서,1160,23,843,0,81,5,104,1,103,101,17,1042,0,0,6,11,32,35,33,1043,154,168,182,156,158,175,167,978,8,0,17,1,59,89,8,0,0,2021-10-27 13:25
201912,제주해양경비안전본부,33,1,0,2,2,3,1,0,24,3,1,29,0,0,0,1,2,1,0,29,1,2,7,2,1,14,6,23,0,0,1,0,1,6,2,0,0,2021-10-27 13:25
201912,제주지방경찰청,400,56,13,42,31,43,75,7,133,93,139,168,60,21,31,35,39,35,11,168,43,65,71,72,58,60,31,93,27,20,93,3,8,36,120,0,0,2021-10-27 13:25
201912,제주서부경찰서,8841,1754,8,576,391,21,4393,631,1067,4054,2887,1900,158,279,1236,1364,1630,1381,877,1916,1170,1321,1238,1249,1339,1375,1149,1404,480,230,936,78,271,3807,1635,0,0,2021-10-27 13:25
